,data,label
200,"[-1.4006275e-04 -2.4374211e-04 -2.9704286e-04 ... -7.9999118e-05
 -1.1370287e-04  0.0000000e+00]",6
201,"[-5.62319437e-05 -1.00131605e-04 -1.15706942e-04 ... -7.50066320e-05
 -1.05634907e-04  0.00000000e+00]",3
202,[0.00034352 0.00062931 0.00058978 ... 0.00013205 0.00016283 0.00027743],8
203,"[-3.1394913e-04 -4.6890354e-04 -3.6174996e-04 ... -1.0566989e-04
 -8.1555510e-05 -5.1007446e-05]",7
204,"[-7.2413051e-05 -6.7738962e-05 -9.9688812e-05 ... -1.9703852e-04
 -2.4498053e-04 -2.3030699e-04]",7
205,"[-2.7824097e-05 -1.9489523e-06  4.9579330e-06 ... -5.5618549e-04
 -6.1934150e-04  0.0000000e+00]",7
206,"[3.4921672e-04 5.7235506e-04 4.8346529e-04 ... 5.2307481e-05 6.0095350e-05
 0.0000000e+00]",9
207,"[-8.7220913e-05 -2.0622391e-04 -2.3622059e-04 ...  2.6209344e-04
  2.5937110e-04  3.4955030e-04]",1
208,"[ 0.0001801   0.00025881  0.00025694 ... -0.00361617 -0.00357539
  0.        ]",1
209,"[-0.00065488 -0.0011662  -0.00097083 ... -0.00076265 -0.00081544
  0.        ]",9
210,"[ 0.00016733  0.00020946  0.00013116 ... -0.00024999 -0.00017153
 -0.00020173]",0
211,"[-0.00043523 -0.00070366 -0.00063304 ... -0.0001358  -0.00012326
  0.        ]",0
212,"[ 2.5892138e-04  4.6078255e-04  3.7030628e-04 ... -7.4209529e-06
 -3.5341684e-05  0.0000000e+00]",9
213,"[-1.3521178e-05 -2.2059881e-07  7.4610657e-06 ...  1.4939927e-05
  5.7030480e-05  0.0000000e+00]",6
214,"[ 1.74069370e-04  2.82108696e-04  2.33138882e-04 ... -9.25038767e-05
 -1.03261584e-04  0.00000000e+00]",4
215,"[-0.00029245 -0.00040311 -0.00031962 ... -0.00056813 -0.0006806
  0.        ]",1
216,"[ 1.4649679e-05  1.9779898e-05  5.6933641e-07 ... -3.4873327e-05
 -2.9454093e-06  0.0000000e+00]",8
217,"[2.5750743e-04 4.3984602e-04 3.8407004e-04 ... 6.1471474e-05 7.2750117e-05
 0.0000000e+00]",1
218,"[9.8084136e-05 1.3139952e-04 9.4176030e-05 ... 6.9492533e-05 3.9412975e-05
 0.0000000e+00]",2
219,"[6.2070714e-05 1.2547422e-04 1.2727534e-04 ... 2.3446089e-04 1.9507841e-04
 2.3654748e-04]",3
220,[0.00011977 0.000159   0.00014666 ... 0.00035776 0.00033321 0.        ],5
221,"[ 0.0001344   0.00021295  0.00014532 ... -0.00016061 -0.00018662
  0.        ]",4
222,"[ 0.000277    0.00039634  0.0002792  ... -0.00023488 -0.00032535
  0.        ]",5
223,"[-1.0971611e-06 -4.8854727e-05 -4.5224126e-05 ...  1.2385438e-04
  7.5028707e-05  0.0000000e+00]",6
224,"[-0.00013405 -0.00020637 -0.00019636 ...  0.00049244  0.00044625
  0.00050968]",0
225,"[-0.00020736 -0.00032222 -0.0002784  ...  0.00047718  0.00041467
  0.00044306]",2
226,"[ 2.6551186e-04  3.9521669e-04  3.5776081e-04 ... -3.7379188e-05
 -1.0603419e-04  0.0000000e+00]",4
227,"[ 0.00029032  0.00048537  0.00038821 ... -0.00023039 -0.00018195
 -0.00020302]",1
228,"[-0.00022149 -0.00041175 -0.00034994 ... -0.00023204 -0.00027887
  0.        ]",3
229,"[-7.4103678e-05 -1.6311902e-04 -7.2234798e-05 ...  3.0957747e-04
  3.6345291e-04  0.0000000e+00]",3
230,"[-0.00033203 -0.00054455 -0.0004477  ... -0.01231541 -0.01408327
  0.        ]",0
231,"[-9.0740403e-05 -1.6544455e-04 -1.5305405e-04 ... -7.6628604e-04
 -7.2739285e-04 -8.0412807e-04]",6
232,"[-0.00026439 -0.00044259 -0.00013891 ... -0.00084739 -0.00056225
  0.        ]",6
233,"[ 1.0048209e-04  1.5197210e-04  2.1017983e-04 ... -1.0753184e-04
 -6.8680063e-05  0.0000000e+00]",8
234,"[5.6989388e-06 3.8204515e-05 1.6928192e-05 ... 2.6947146e-04 1.9894665e-04
 2.0092871e-04]",3
235,"[-1.8157338e-05 -3.9022347e-05 -5.8760841e-05 ... -9.9700199e-05
 -1.4387530e-04  0.0000000e+00]",6
236,"[ 0.00017066  0.000331    0.00028058 ... -0.00015147 -0.00017248
 -0.0002186 ]",0
237,"[ 9.8610988e-05  1.7892259e-04  1.5231423e-04 ... -4.0770893e-04
 -3.4384741e-04 -3.9370082e-04]",6
238,"[-0.00012056 -0.00022294 -0.00018622 ... -0.00015402 -0.00012455
 -0.0001867 ]",0
239,"[ 1.4438605e-05  6.0720169e-05  4.9575214e-05 ... -8.1438411e-05
 -9.7480792e-05  0.0000000e+00]",8
240,"[ 0.00046137  0.00076784  0.00069794 ... -0.00060363 -0.00060219
  0.        ]",5
241,"[ 0.00013551  0.00026012  0.00019319 ... -0.00074511 -0.00068055
  0.        ]",6
242,"[-3.6266156e-05 -1.5528152e-05  2.6791893e-05 ...  3.2563100e-04
  2.6966174e-04  0.0000000e+00]",2
243,"[-0.00014017 -0.00021185 -0.00018932 ... -0.00047923 -0.00054076
  0.        ]",2
244,[0.00016411 0.00026694 0.00017124 ... 0.00024713 0.0001696  0.00024005],3
245,"[-5.3299525e-05 -8.1244216e-05 -6.0495902e-05 ... -7.4306520e-04
 -8.7740598e-04  0.0000000e+00]",8
246,"[-0.00013083 -0.00025716 -0.00020868 ...  0.00051092  0.00050382
  0.        ]",4
247,[0.00017551 0.00030222 0.00027646 ... 0.00018821 0.00014519 0.00014269],0
248,"[3.3769054e-05 3.3612803e-05 4.4561802e-05 ... 7.7608560e-04 8.6227275e-04
 0.0000000e+00]",8
249,"[-0.00035156 -0.00065445 -0.00055899 ... -0.0003317  -0.00044833
  0.        ]",1
250,"[-3.9304250e-05 -6.8565023e-05 -7.6930672e-05 ...  4.4290326e-05
  9.0443908e-05  8.3687570e-05]",9
251,"[-0.00014726 -0.00032952 -0.00028166 ... -0.00022214 -0.00015548
 -0.00011494]",5
252,"[-0.00046223 -0.00085977 -0.00079442 ... -0.00029416 -0.00037243
  0.        ]",0
253,"[-0.00039615 -0.00064144 -0.00054914 ... -0.0004251  -0.00046017
  0.        ]",7
254,"[ 8.0260652e-06 -1.8088294e-05 -5.5771827e-05 ...  2.4668392e-04
  2.7940766e-04  2.0224866e-04]",6
255,"[2.4440785e-06 7.9921792e-06 4.3904241e-05 ... 4.0457281e-04 4.3064868e-04
 0.0000000e+00]",0
256,"[ 2.4508729e-05  3.1026026e-05  1.5199464e-05 ... -3.9469060e-03
 -4.6858648e-03  0.0000000e+00]",6
257,"[-1.2712587e-04 -2.0839751e-04 -1.5521940e-04 ... -2.8349716e-05
  1.7198838e-05  0.0000000e+00]",7
258,"[9.2296432e-05 1.8549526e-04 1.4095620e-04 ... 4.5069127e-04 2.5760935e-04
 0.0000000e+00]",5
259,"[-0.00014396 -0.00019638 -0.00010357 ... -0.00107437 -0.00111331
  0.        ]",1
260,"[-2.0843322e-04 -3.2903627e-04 -2.8509015e-04 ...  4.4216446e-05
 -4.4049095e-05  0.0000000e+00]",6
261,[0.00194495 0.00304236 0.00270573 ... 0.00229476 0.00255729 0.        ],4
262,"[-2.4498685e-04 -3.6641260e-04 -1.9677321e-04 ...  1.5914555e-04
 -1.7146082e-05  0.0000000e+00]",5
263,[0.00013533 0.00020968 0.00022007 ... 0.00060501 0.00059907 0.        ],8
264,[0.00055534 0.00089047 0.00075115 ... 0.00034531 0.00041317 0.00049839],3
265,"[ 2.1652049e-05  4.5921177e-05  2.1924301e-05 ... -1.3577176e-04
 -8.5590807e-05  0.0000000e+00]",6
266,"[ 0.00020053  0.00025464  0.00021132 ... -0.00027954 -0.00021167
 -0.0001896 ]",9
267,"[-0.00013838 -0.00023978 -0.00023206 ...  0.00038026  0.00037389
  0.        ]",1
268,"[ 1.1563294e-06  3.5844425e-06  2.0092806e-05 ... -3.3442771e-05
 -4.1708681e-05  0.0000000e+00]",5
269,"[-6.50822112e-05 -1.06369065e-04 -1.18600743e-04 ...  1.10946676e-04
  1.12008362e-04  0.00000000e+00]",3
270,"[6.7117559e-05 5.9217029e-05 3.0192816e-05 ... 1.7207928e-04 3.5278928e-05
 0.0000000e+00]",6
271,"[6.5332119e-05 1.2987523e-04 5.4405500e-05 ... 2.6077789e-04 2.6344837e-04
 0.0000000e+00]",6
272,"[-9.7916818e-05 -2.0344797e-04 -1.2600319e-04 ...  1.1551191e-04
  7.8558849e-05  8.6184613e-05]",2
273,"[-0.00022359 -0.00037236 -0.00031964 ... -0.00037961 -0.00035217
  0.        ]",6
274,"[7.13224144e-05 1.03580671e-04 1.15558665e-04 ... 5.73516125e-04
 6.05040055e-04 0.00000000e+00]",8
275,"[ 1.8356471e-04  2.9891173e-04  2.4216030e-04 ... -6.2634921e-05
 -9.2705166e-05  0.0000000e+00]",0
276,"[-7.1637682e-05 -1.4844173e-04 -9.5178424e-05 ... -9.9880541e-05
 -7.2412768e-05  0.0000000e+00]",5
277,"[ 1.1199961e-04  1.6656733e-04  1.9310624e-04 ... -5.4089254e-05
 -4.5962443e-05  0.0000000e+00]",4
278,"[6.2083636e-05 1.4265611e-04 9.4588118e-05 ... 1.5737231e-04 1.8545517e-04
 0.0000000e+00]",7
279,"[2.1067523e-05 7.9474012e-05 1.1156112e-04 ... 1.1614545e-04 2.1103340e-04
 0.0000000e+00]",9
280,"[ 0.00013416  0.00023099  0.00020742 ... -0.00043308 -0.00046793
  0.        ]",1
281,"[-7.83087162e-05 -1.54891008e-04 -1.12858725e-04 ...  4.34018293e-04
  5.32298291e-04  0.00000000e+00]",6
282,"[-9.3991039e-05 -1.8460784e-04 -1.2551475e-04 ...  1.0933419e-04
  6.7315515e-05  0.0000000e+00]",0
283,[0.00028922 0.00048191 0.0004122  ... 0.00064688 0.00061371 0.00070648],8
284,"[ 0.00018593  0.00032569  0.0002795  ... -0.00022786 -0.0001915
 -0.00019037]",6
285,"[-0.00018951 -0.00029457 -0.00030273 ... -0.00029387 -0.0003374
  0.        ]",3
286,"[-0.00036257 -0.00056985 -0.00050352 ...  0.00030201  0.00032539
  0.        ]",8
287,"[-8.3263167e-08  3.1360247e-05  2.6518564e-05 ... -2.1302559e-04
 -2.6145219e-04  0.0000000e+00]",7
288,[0.00013949 0.00028235 0.00021248 ... 0.00102276 0.00099841 0.00108155],5
289,"[-8.3100953e-05 -6.7966757e-05 -1.0049796e-04 ...  3.0159121e-04
  1.9239282e-04  0.0000000e+00]",5
290,"[9.9539138e-05 1.9356610e-04 1.3859443e-04 ... 3.5550739e-04 3.7287720e-04
 0.0000000e+00]",9
291,"[ 4.0670046e-05  4.2517717e-05  1.6066220e-05 ... -2.4285325e-04
 -2.3529827e-04  0.0000000e+00]",6
292,"[-0.0001873  -0.00031483 -0.00028101 ... -0.0002874  -0.00027988
 -0.00029938]",9
293,"[-0.0001774  -0.00033518 -0.00036085 ...  0.00080235  0.00080116
  0.00088721]",9
294,"[ 4.4412218e-06 -1.4974180e-05 -1.5276020e-05 ...  2.6926195e-04
 -1.2229498e-04  0.0000000e+00]",0
295,"[ 8.0887316e-05  1.2621802e-04  1.2406314e-04 ... -1.5558356e-04
 -1.9623771e-04  0.0000000e+00]",3
296,"[-2.9165025e-05  3.8584290e-05 -1.3386569e-05 ... -3.5229739e-05
 -8.8382163e-05 -9.1165661e-05]",4
297,"[-0.00041607 -0.00073541 -0.00060103 ... -0.00056597 -0.00057064
  0.        ]",8
298,"[-0.0003598  -0.00060395 -0.00047642 ...  0.00100647  0.00143672
  0.        ]",5
299,"[-8.40809880e-05 -1.21582329e-04 -7.98283581e-05 ...  1.21517056e-04
  1.08560671e-04  1.84500037e-04]",2
300,"[ 0.00039293  0.00057938  0.00024455 ... -0.00029241 -0.00047731
 -0.00050654]",5
301,"[-1.6703812e-04 -3.0986167e-04 -3.0012493e-04 ... -7.5207980e-05
 -3.0176352e-05  0.0000000e+00]",3
302,"[-1.3324329e-04 -1.9234477e-04 -1.4064528e-04 ...  1.7363149e-04
  8.9027788e-05  1.6863260e-04]",5
303,"[-0.0006458  -0.00109264 -0.00092304 ... -0.0005233  -0.00053828
  0.        ]",3
304,"[ 0.00011334  0.00018582  0.00020335 ... -0.00013515 -0.00021324
 -0.00016524]",2
305,"[ 2.7726934e-05 -3.7163536e-05 -1.0155242e-04 ... -1.4409116e-04
 -6.1312428e-05  0.0000000e+00]",9
306,"[ 0.00012341  0.0002545   0.00022564 ... -0.00023949 -0.00025447
  0.        ]",4
307,"[ 8.2250062e-06  1.7752302e-05  4.6500509e-06 ... -2.1921782e-04
 -1.7838701e-04 -2.2054587e-04]",2
308,"[-0.00013903 -0.00025955 -0.00024292 ...  0.00094845  0.00105892
  0.        ]",5
309,"[-0.00112671 -0.00187191 -0.00155246 ...  0.00061634  0.00063737
  0.        ]",9
310,"[-0.0002426  -0.00042313 -0.00042191 ... -0.00034157 -0.00041614
  0.        ]",2
311,"[-5.5923369e-06  7.6186375e-06 -4.2267820e-07 ...  1.8878888e-04
  2.0534554e-04  0.0000000e+00]",7
312,"[ 4.8172020e-05  6.4444983e-05  1.0124129e-04 ... -8.5613210e-05
 -9.2647831e-05  0.0000000e+00]",5
313,"[ 0.00028454  0.00045724  0.00040109 ... -0.00019793 -0.00024297
  0.        ]",2
314,"[-0.00010252 -0.00016722 -0.0001238  ... -0.0006325  -0.0007878
  0.        ]",4
315,[0.00042145 0.0006521  0.00055143 ... 0.00049583 0.00057234 0.        ],7
316,"[1.5249887e-05 2.0366198e-05 5.0130079e-06 ... 4.0478670e-04 4.4326921e-04
 0.0000000e+00]",7
317,[0.00015139 0.00024537 0.000219   ... 0.00021057 0.00016639 0.        ],0
318,"[ 4.0349798e-05  7.2143623e-05  6.6039996e-05 ... -5.3546228e-04
 -5.7373062e-04  0.0000000e+00]",5
319,"[ 9.1299138e-05  1.3804500e-04  1.4511817e-04 ... -1.6411358e-04
 -1.2051973e-04 -1.3764590e-04]",7
320,"[ 7.5065655e-05  1.4536975e-04  1.3147711e-04 ... -1.5032648e-03
 -1.4151260e-03 -1.5588247e-03]",3
321,"[ 0.00011511  0.00017893  0.00013772 ... -0.00020838 -0.00029673
  0.        ]",6
322,"[ 1.1146674e-04  1.8937349e-04  1.1879097e-04 ... -2.2583616e-05
 -9.6683587e-05  0.0000000e+00]",1
323,[0.00013412 0.00027224 0.00021809 ... 0.00012439 0.00010565 0.        ],5
324,"[-2.5638912e-04 -4.1816215e-04 -3.1911355e-04 ...  6.1627434e-05
  8.5885134e-05  0.0000000e+00]",7
325,"[-3.3239721e-05 -9.3231734e-05 -3.4230630e-05 ...  1.2745771e-04
  9.7586599e-05  0.0000000e+00]",1
326,[0.00042978 0.00076848 0.00073422 ... 0.00026108 0.00017914 0.00018766],7
327,"[1.4038892e-04 2.7377642e-04 2.0595208e-04 ... 4.5058994e-05 7.5105330e-05
 0.0000000e+00]",1
328,"[ 0.00021046  0.00032484  0.00026966 ... -0.00037265 -0.00043306
  0.        ]",9
329,"[-0.00013249 -0.00025105 -0.00022369 ... -0.00048651 -0.00053746
  0.        ]",4
330,"[-0.00036655 -0.00060697 -0.00050134 ...  0.00020473  0.00018668
  0.        ]",1
331,"[ 6.7080276e-05  6.2217907e-05 -2.2348917e-04 ...  1.4501464e-04
  1.8225136e-04  1.9852912e-04]",3
332,"[-7.6231781e-06 -3.9165367e-05 -4.8740701e-05 ... -7.3920790e-05
 -1.4367817e-04  0.0000000e+00]",1
333,"[-4.1460611e-05 -5.7810779e-05 -3.2162447e-05 ... -2.9517096e-04
 -3.1166093e-04  0.0000000e+00]",1
334,"[-0.00019301 -0.00034277 -0.00032239 ... -0.00014212 -0.00019253
  0.        ]",8
335,"[-1.0333467e-04 -1.6320458e-04 -1.3443126e-04 ... -6.1421684e-05
 -5.4229145e-05  0.0000000e+00]",7
336,"[-2.9499221e-05 -8.3888095e-05 -3.6537665e-05 ...  1.4198148e-04
  7.4734489e-05  0.0000000e+00]",8
337,"[-0.00018002 -0.00031933 -0.00028573 ...  0.00017889  0.00015544
  0.00018123]",3
338,"[ 2.6849561e-05 -2.0467132e-06 -1.7072301e-05 ... -3.3696295e-05
 -2.6661264e-05  0.0000000e+00]",8
339,"[-9.1025991e-05 -1.7872124e-04 -1.4459172e-04 ... -1.8481855e-04
 -2.1395988e-04  0.0000000e+00]",4
340,"[ 4.3506636e-05  6.4328822e-05  2.8872641e-05 ... -3.0313055e-05
 -6.5531967e-05 -1.5626611e-06]",5
341,"[-8.5233740e-05 -1.4935195e-04 -1.7689110e-04 ... -2.0419444e-04
 -1.7179984e-04  0.0000000e+00]",3
342,"[-0.00012859 -0.0001961  -0.00010462 ... -0.00050332 -0.00047513
 -0.00054528]",1
343,"[-0.00034463 -0.00056857 -0.00056521 ...  0.00028961  0.00039998
  0.        ]",4
344,[0.00032018 0.00050149 0.00039719 ... 0.00032469 0.00029011 0.00031226],2
345,"[ 0.00013677  0.0002196   0.00021155 ... -0.00018235 -0.00018028
 -0.00023183]",2
346,"[-1.05052706e-04 -9.46814907e-05 -8.89277508e-05 ... -3.82181781e-04
 -4.64416284e-04  0.00000000e+00]",0
347,[0.00010534 0.00018555 0.00013328 ... 0.00018595 0.00021596 0.        ],6
348,"[-1.8111762e-04 -3.4337261e-04 -2.8331488e-04 ... -6.8300105e-05
 -1.1679918e-04  0.0000000e+00]",3
349,"[3.4579163e-04 6.3158892e-04 5.3700479e-04 ... 6.3645566e-05 5.2368625e-05
 0.0000000e+00]",1
350,"[-0.00026689 -0.00045659 -0.00038395 ...  0.00087954  0.00086137
  0.00092022]",8
351,"[ 0.00094749  0.00068367  0.00088971 ... -0.00030112 -0.00035734
  0.        ]",5
352,"[-1.7994766e-07  3.1395008e-05  4.0007868e-05 ...  1.5291380e-04
  1.6027801e-04  1.5881639e-04]",5
353,"[2.0825339e-05 3.0609743e-05 2.5477977e-05 ... 2.1611650e-04 2.6671690e-04
 0.0000000e+00]",7
354,"[-1.0035082e-04 -1.4296180e-04 -1.5440780e-04 ... -5.6723879e-05
 -7.5458331e-05  0.0000000e+00]",4
355,"[ 4.7324520e-05  1.0305498e-04  8.2738516e-05 ... -3.1522743e-04
 -3.0438966e-04  0.0000000e+00]",0
356,"[2.5228117e-04 4.7557527e-04 4.2555598e-04 ... 7.6981654e-05 5.7390393e-05
 0.0000000e+00]",9
357,"[-6.9810294e-06  3.1707608e-05 -3.3000226e-06 ... -5.3994510e-05
 -1.8767934e-05  0.0000000e+00]",1
358,"[-0.00267009 -0.00445077 -0.00383055 ...  0.00702887  0.00671261
  0.00744584]",0
359,"[-4.8159171e-05 -4.7718899e-05 -6.1202169e-05 ... -4.2019112e-04
 -4.4081002e-04  0.0000000e+00]",2
360,"[-0.00067066 -0.00107706 -0.00095534 ...  0.00120327  0.00130027
  0.        ]",7
361,"[-4.6084353e-04 -6.7226263e-04 -7.2526326e-04 ...  6.9703281e-05
  3.6134123e-05  2.3829814e-05]",4
362,"[3.9254638e-04 6.3986576e-04 5.6580268e-04 ... 1.0061224e-04 9.2701477e-05
 1.1014400e-04]",9
363,[0.00039319 0.00061388 0.00053618 ... 0.00047381 0.00058065 0.        ],8
364,[0.00022188 0.00037109 0.00034005 ... 0.00041003 0.0003064  0.        ],6
365,"[-4.95924432e-05 -1.17924836e-04 -5.52810525e-05 ...  2.36849606e-04
  1.14443916e-04  0.00000000e+00]",0
366,"[ 2.0040443e-05  9.1638634e-05  8.7306078e-05 ... -6.5626565e-04
 -6.0418417e-04 -7.3971786e-04]",9
367,"[-6.4704451e-04 -1.0722973e-03 -8.9434301e-04 ...  3.9315851e-06
  3.5917179e-05  0.0000000e+00]",2
368,"[-0.00027957 -0.00048541 -0.00041117 ... -0.00034494 -0.00041432
  0.        ]",3
369,"[-0.00395587 -0.00670825 -0.0059949  ...  0.00243846  0.00230529
  0.00257118]",0
370,"[ 1.3790592e-05  4.0121263e-06 -3.4471468e-05 ... -4.2115487e-04
 -4.6993681e-04  0.0000000e+00]",1
371,"[ 0.00015033  0.00025638  0.00026738 ... -0.00011236 -0.00018612
  0.        ]",7
372,"[-9.8590681e-05 -1.7796860e-04 -1.7649950e-04 ...  6.1151624e-04
  6.2817789e-04  0.0000000e+00]",0
373,"[-1.0658298e-05 -2.0698613e-05 -1.7752713e-05 ... -5.4760021e-05
 -9.4978903e-05  0.0000000e+00]",9
374,"[ 0.00028039  0.00045388  0.00042686 ... -0.00051419 -0.00062536
  0.        ]",7
375,[0.00016516 0.00030878 0.00028505 ... 0.00021389 0.00023202 0.        ],5
376,"[ 0.00074263  0.00120735  0.00102222 ... -0.00075218 -0.00083415
  0.        ]",2
377,"[ 5.5541983e-04  9.4648986e-04  7.6684781e-04 ... -4.9247348e-05
 -4.9664534e-04  0.0000000e+00]",9
378,"[-3.3744280e-05 -4.8094076e-05 -4.9457682e-05 ... -1.4541023e-05
  3.7809059e-05  0.0000000e+00]",4
379,"[ 6.2519262e-05  1.4031601e-04  1.0501118e-04 ... -7.7766308e-05
 -5.1758539e-05  0.0000000e+00]",4
380,"[-0.00014911 -0.00029818 -0.0003147  ...  0.00063822  0.00060263
  0.00060957]",7
381,"[ 0.00024224  0.00035614  0.00034892 ... -0.00045263 -0.00043464
 -0.00044134]",5
382,[0.00024546 0.00042378 0.00031925 ... 0.00015773 0.00025218 0.        ],2
383,"[-0.00021123 -0.00032994 -0.00030627 ... -0.00010947 -0.0002729
  0.        ]",8
384,"[-0.00012507 -0.0001654  -0.00014452 ... -0.00058753 -0.00058796
 -0.00063428]",0
385,"[-1.4197685e-05 -5.2285388e-05 -9.2692235e-06 ...  5.6315493e-04
  6.7858538e-04  0.0000000e+00]",8
386,"[ 3.8208952e-04  7.1189087e-04  6.4128893e-04 ... -6.7399531e-05
 -9.5150623e-05  0.0000000e+00]",7
387,[0.0002229  0.00040377 0.00038706 ... 0.00016073 0.00012063 0.        ],6
388,"[1.7444261e-04 2.3562500e-04 1.9387936e-04 ... 8.8533641e-05 8.5631524e-05
 0.0000000e+00]",4
389,"[ 9.0634730e-06  6.9143251e-05  1.2105148e-04 ... -1.5418067e-04
 -1.8810247e-04 -2.5214063e-04]",2
390,"[7.5120020e-05 7.7195524e-05 7.0967857e-05 ... 5.8850105e-04 6.5321545e-04
 0.0000000e+00]",7
391,"[-3.4256998e-05 -1.0632261e-04 -1.3240003e-04 ...  3.6652366e-04
  3.8759856e-04  0.0000000e+00]",3
392,"[-0.00011619 -0.0001768  -0.00016126 ... -0.00067105 -0.00072504
  0.        ]",2
393,"[-1.0718192e-05 -8.9960995e-06  2.9960011e-06 ...  7.9353747e-05
  1.0262170e-04  0.0000000e+00]",8
394,"[-1.5550498e-04 -2.8512385e-04 -2.5307064e-04 ...  4.6840163e-05
  9.1631828e-06 -6.5385202e-06]",3
395,"[-0.00043607 -0.00071744 -0.00058036 ...  0.00029387  0.00038065
  0.        ]",8
396,"[-9.3324561e-05 -2.1385048e-04 -2.1902373e-04 ... -2.1659260e-04
 -2.1296628e-04  0.0000000e+00]",5
397,[0.00050616 0.00076859 0.00072309 ... 0.000755   0.00079122 0.        ],3
398,[0.00032126 0.0005708  0.00051096 ... 0.00041208 0.00048524 0.        ],8
399,"[-0.00026868 -0.00042159 -0.00031781 ... -0.00075416 -0.00084743
  0.        ]",5
